source,target,weight
1,pam,1
7,prova-pilot-pressupostos-participatius,1
8,metadecidim,3
8,pam,1
11,pam,1
19,pam,5
23,pam,4
24,pam,1
25,metadecidim,3
25,pam,6
32,PAM2020,2
33,pam,5
34,PressupostosParticipatius,1
34,urbanitzacioFiC,2
40,pam,5
44,pam,14
47,pam,3
48,PAM2020,1
48,PressupostosParticipatius,1
48,pam,21
50,pam,1
52,pam,1
56,pam,2
58,pam,1
62,pam,1
64,pam,4
73,PressupostosParticipatius,1
73,metadecidim,2
73,pam,13
73,prova-pilot-pressupostos-participatius,4
74,pam,8
77,pam,2
79,pam,27
79,patrimonigracia,1
81,pam,1
85,PressupostosParticipatius,1
85,ordenancaconvivencia,1
85,pam,33
92,pam,1
93,pam,1
94,pam,33
95,PAM2020,1
95,pam,1
96,pam,3
98,pam,2
101,pam,1
108,pam,2
113,PAM2020,1
113,ordenancaconvivencia,1
114,pam,2
115,pam,5
117,pam,1
119,pam,5
120,pam,7
122,pam,14
123,mobilitatcv,1
123,pam,1
125,pam,1
129,pam,1
133,pam,5
134,pam,3
139,pam,2
146,pam,1
148,patrimoniciutada,4
151,pam,4
152,pam,2
154,PressupostosParticipatius,1
156,pam,1
160,pam,1
164,PAM2020,2
164,PressupostosParticipatius,7
164,pam,18
169,pam,34
177,pam,2
179,PAM2020,2
179,pam,26
179,plaequipamentssantscentre,3
181,pam,30
184,PressupostosParticipatius,6
188,pam,1
190,pam,2
191,pam,1
193,pam,1
194,pam,1
195,pam,1
198,pam,1
202,pam,1
203,pam,5
206,pam,1
207,pam,1
209,PressupostosParticipatius,2
210,pam,1
213,PressupostosParticipatius,1
214,pam,1
215,pam,1
216,PressupostosParticipatius,3
216,pam,1
219,pam,13
222,pam,2
229,pam,3
234,PAM2020,1
234,PressupostosParticipatius,1
234,pam,4
238,pam,6
240,pam,1
244,pam,15
244,prova-pilot-pressupostos-participatius,2
245,pam,2
247,PressupostosParticipatius,2
247,pam,2
250,pam,4
252,pam,1
260,pam,1
262,pam,2
266,PressupostosParticipatius,3
266,pam,3
272,pam,2
275,pam,2
276,PressupostosParticipatius,1
276,pam,10
276,premi8m-2023,1
285,pam,27
288,PAM2020,2
301,pam,1
303,pam,2
307,pam,1
314,pam,8
315,ordenancaconvivencia,1
315,pam,3
318,pam,2
320,PressupostosParticipatius,5
320,pam,5
323,pam,3
327,pam,177
328,pam,1
340,PAM2020,25
340,pam,3
343,PressupostosParticipatius,1
343,pam,3
345,pam,1
347,PAM2020,3
347,PressupostosParticipatius,6
347,pam,5
347,xarxabus,22
349,PressupostosParticipatius,2
360,pam,3
361,PAM2020,1
361,pam,1
362,PAM2020,3
362,pam,3
364,pam,1
368,PAM2020,2
368,PressupostosParticipatius,6
368,pam,29
