id,Label,modularity_class_str,modularity_class,frecuency
1,,B,12,1
pam,pam,B,12,18307
11,,B,12,1
33,,B,12,5
40,,B,12,5
5207,,B,12,3
314,,B,12,8
44,,B,12,14
94,,B,12,33
506,,B,12,2
47,,B,12,3
56,,B,12,2
64,,B,12,4
58,,B,12,1
50,,B,12,1
122,,B,12,14
73,,B,12,20
77,,B,12,2
85,,B,12,35
442,,B,12,6
629,,B,12,3
689,,B,12,1
238,,B,12,6
1644,,B,12,9
6926,,A,14,2
364,,B,12,1
19,,B,12,5
129,,B,12,1
593,,B,12,6
417,,A,14,7
114,,B,12,2
10150,,B,12,12
16129,,B,12,1
92,,B,12,1
151,,B,12,4
190,,B,12,2
13084,,B,12,59
3778,,B,12,4
125,,B,12,1
164,,B,12,27
152,,B,12,2
9821,,B,12,48
1970,,B,12,32
146,,B,12,1
177,,B,12,2
133,,B,12,5
181,,B,12,30
452,,B,12,5
23,,B,12,4
203,,B,12,5
160,,B,12,1
207,,B,12,1
216,,A,14,4
5080,,B,12,11
117,,B,12,1
202,,B,12,1
108,,B,12,2
1723,,B,12,3
240,,B,12,1
247,,A,14,4
252,,B,12,1
260,,B,12,1
214,,B,12,1
276,,B,12,12
275,,B,12,2
570,,B,12,1
285,,B,12,27
307,,B,12,1
315,,B,12,4
219,,B,12,13
345,,B,12,1
193,,B,12,1
347,,A,14,41
244,,B,12,17
382,,B,12,1
409,,B,12,5
426,,B,12,2
435,,B,12,2
25,,B,12,9
453,,B,12,1
491,,B,12,1
250,,B,12,4
512,,B,12,29
522,,B,12,1
519,,B,12,1
368,,B,12,39
8218,,B,12,39
528,,B,12,2
399,,B,12,2
555,,B,12,6
557,,B,12,4
575,,B,12,2
1719,,B,12,4
1731,,B,12,5
134,,B,12,3
594,,B,12,9
588,,B,12,20
642,,B,12,2
665,,B,12,2
2348,,B,12,1
4860,,B,12,7
9205,,B,12,1
52,,B,12,1
8649,,B,12,3
191,,B,12,1
11550,,B,12,10
7482,,B,12,60
659,,B,12,1
179,,B,12,31
194,,B,12,1
748,,B,12,4
8026,,B,12,6
908,,B,12,11
24,,B,12,1
746,,B,12,2
765,,B,12,11
514,,B,12,2
768,,B,12,1
2750,,A,14,30
327,,B,12,177
773,,B,12,1
2400,,B,12,59
1477,,A,14,20
12133,,B,12,38
2996,,B,12,6
774,,B,12,1
14140,,B,12,12
301,,B,12,1
518,,B,12,1
48,,B,12,23
600,,B,12,4
613,,B,12,84
808,,B,12,1
821,,B,12,1
1035,,B,12,1
2241,,B,12,2
6514,,B,12,43
820,,B,12,1
581,,B,12,63
120,,B,12,7
792,,B,12,5
14094,,B,12,11
836,,B,12,1
838,,B,12,7
850,,B,12,13
4750,,B,12,17
11749,,B,12,18
101,,B,12,1
846,,B,12,14
656,,B,12,1
871,,B,12,4
1166,,B,12,4
785,,B,12,2
877,,B,12,1
887,,B,12,2
894,,B,12,2
360,,B,12,3
3017,,B,12,2
2095,,B,12,1
854,,B,12,1
900,,B,12,2
873,,B,12,30
916,,B,12,3
912,,B,12,10
17166,,A,14,3
19484,,B,12,5
935,,B,12,3
1079,,B,12,2
959,,B,12,26
966,,B,12,1
119,,B,12,5
592,,B,12,1
1006,,B,12,1
